startphrase,ending1,ending2,correct_label
The musician plays like as good as A gerbil,He plays badly.,He plays well.,0
Their love is as deep as a thimble,They are madly in love.,They're not in love.,1
Her hair had the volume of a limp rag,Her hair had a lot of volume.,Her hair lacked volume.,1
The boy's style is as current as a boomer's myspace home page,His style is out of date.,His style is up to date.,0
The cat is a lion,The cat is aggressive.,The cat is meek.,0
The clothing has the smell of roses,The clothing smells pleasant.,The clothing smells awful.,0
The food has all the flavor of dried sugar-free oatmeal,The food has a ton of flavor.,The food is pretty bland.,1
The car was as shiny as Concrete,The car had a lot of shine.,The car was dull.,1
Time moves like lightning,Time moves quickly.,Time moves slowly.,0
She has the personality an A fannypack,She is boring and lame.,She is colorful and fun.,0
Her voice is as pleasant as a mad cat,Her voice is annoying.,Her voice is soothing.,0
He is as adorable as a sewer rat,He's cute.,He's ugly.,1
The blimp was as light as stone,The blimp was very light.,The blimp was heavy.,1
I've got the memory of an elephant,The person has a great memory.,The person has a really bad memory.,0
The football player's effort was a tortoise,The football player put forth a ton of effort.,The football player put forth no effort.,1
He has the villainy of Hitler on methamphetamine,He is quite the villain.,He's not very villainous.,0
The pillow was as soft as a cement slab,The pillow was soft.,The pillow was hard.,1
He had funnels in his ears throughout the lecture,He did pay attention.,He did not pay attention.,0
She is like a snuggly bear,She is comforting.,She is unapproachable.,0
The actor's skin is a piece of glass,The actor's skin is bumpy and flaky.,The actor's skin is smooth.,1
The tactic is as complex as Calculus,"The tactic is simple, easy to figure out.",The tactic is complex and involves many steps.,1
The church has all the visitors of a McDonaldbytes:\xe2\x80bytes:\x99s on a Monday morning,The church has many visitors.,Therebytes:\xe2\x80bytes:\x99s no one at the church.,0
The girl's temperament is a balloon,The girl is easily provoked.,The girl has a steady temperament.,0
Her house was clean like it had been cleaned by the servants of a violent king,The house was meticulously clean.,The house wasn't clean at all.,0
He feels the love of the devil to everything good,He feels a lot of love.,He feels little love.,1
My depression these days is like a distant enemy,The speaker hates their depression but has not had to deal with it in a while.,The speaker deals with their depression so constantly that they have grown used to it.,0
The tree was as old as a newborn baby,The tree was old.,The tree was young.,1
The man was as handsome as a toad,The man was very handsome.,The man was ugly.,1
That rose has the redness of a Paula Red apple,It is very red.,It's not at all red.,0
The doctor was as gentle as a boxer,He was nice.,He was mean.,1
The pop song was a slug,The pop song was upbeat and catchy.,The pop song was slow.,1
The girl's facial expression was as clear as pea soup,The girl's facial expression was somewhat murky.,The girl's facial expression was obvious.,0
It was as melodious a colicky baby,It was melodious.,It was not melodius.,1
The painting is like a finding $100 on the street,The painting is tacky and commercial.,The painting is surprisingly good.,1
The new linebacker is as solid as water,The linebacker is tough and can hold his ground.,The linebacker is weak and people can run right through him.,1
The interns are as common as kitchen sinks,There are tons of interns.,There aren't that many interns.,0
She swam like a cat,She didn't swim well.,She swam very well.,0
He awoke from sleeping like a man drifting out to sea,He awoke suddenly.,He awoke slowly.,1
The book had the depth of a skyscraper,The book was boring.,The book was profound.,1
My life is a circus and I am the ringleader,I am a freak.,I control my life.,1
This place is as hot as Syberia in winter,This place is so hot it could burn you.,This place is actually extremely cold.,1
The businessman was as aggressive in negotiations as a secretary,The businessman went all out in negotiations.,The businessman was a timid negotiator.,1
This structure is as permanent as stone,The structure will last.,The structure will not last long.,0
Love is mysterious like a witch,Love cannot always be explained (in a good way).,Love is trouble.,1
He has the unconsciousness of an owl in the middle of the night after five cups of coffee,He's completely unconscious.,He's extremely conscious.,1
The man's personality was as volatile as a sloth,The man was often angry.,The man was laidback.,1
The pilot flew like a ballet dancer,The pilot flew in a restrained way.,The pilot flew in a creative way.,0
The woman was the size of the branches of a whispering willow,The woman was fat.,The woman was thin.,1
The girl's life was as dramatic as the ocean at low tide,The girl's life was bland.,The girl's life was full of drama.,0
The dog has the snores of a mouse hiding from a house cat,The dog snores loudly.,The dog hardly makes a sound.,1
He is enthusiastic as a sleeping rat,He is excited.,He is tired.,1
Cats are scratches come to life,Cats are violent.,Cats are friendly.,0
Her wit was a sharp as a tack,She was extremely witty.,She was dull at the best of times.,0
He was as smooth as butter,He was very smooth.,He wasn't smooth at all.,0
His skill in writing was as sharp as a spoon,Her writing skill is excellent.,Her writing skill is poor.,1
The man was as skinny as a broom,The man was skinny.,The man was fat.,0
The grass was the green of puke,The grass was healthy and bright green.,The grass was dying and ugly green.,1
My colleague's project looked like the work of a third-grader,My colleague's project is very rudimentary.,My colleague's project is very sophisticated.,0
The NHL player was a woodpecker,The NHL player was sloppy.,The NHL player was careful.,0
The math test was as simple as cooking a twelve-course Thanksgiving meal,The math test was a cinch.,The math test was very difficult.,1
The well water has the pristineness of a toilet bowl,The well water is foul.,The well water is pure and drinkable.,0
The light on the tree were as bright as a cave,The light was bright.,The light was dark.,1
This life is a raging storm,This life is a crazy place to live in.,"This life is filled with good and bad things, happy and sad moments.",0
The girl's career took off as quickly as a starfish,The girl's career skyrocketed.,The girl's career stagnated.,1
She sings like a bird,She sings well.,She can't sing.,0
She was as sad as a child on Christmas morning,She was sad.,She was happy.,1
The movie has as much mystery as a piece of glass,The movie isn't mysterious at all.,The movie has a lot of mystery to it.,0
The math test was as straightforward as building a rocket ship,The math test was straightforward.,The math test was complicated.,1
The play was as good as a elementary class' Thanksgiving play,"The play had a depth of meaning, was both poetic and entertaining, and had the quality of something that would last.",The play was simplistic and lacked a serious artistic quality.,1
Her eyes were blue as a muddy pond,Her eyes were a clear blue.,Her eyes were muddy and brown.,1
He was as slimy as a puppy,He was someone who couldn't be trusted.,He was someone you could trust.,1
The girl left a mark as indelible as a pencil,The girl left a huge impact.,The girl's impact was minimal.,1
His brain was made of curving winding roads leading into dark woods,He is really efficient and thinks in a straightforward way.,He tends to get distracted.,1
Owning a cat is an extended visit by your favorite aunt,Owning a cat is not pleasant.,Owning a cat is quite sweet.,1
The sixth grader's homework assignment was as easy as making a sandwich,The sixth grader's homework assignment was a cinch to complete.,The sixth grader's homework assignment was very difficult to complete.,0
The crowd's reaction to the performance fizzled like fireworks,The crowd was enthusiastic.,The crowd was unenthusiastic.,0
JON IS A HAS A MIND LIKE A SIEVE,JON IS A FOOLISH PERSON.,JON IS A KNOWLEDGEABLE PERSON.,0
"In the sunlight, her hair was woven gold",Her hair was red.,Her hair was blonde.,1
He has the attitude of the Grinch at Halloween,He has a bad attitude.,He's got a good attitude.,1
As poor as a Kardashian,You have no money.,You are rich.,1
The running dog is A stranger on the street,The running dog is man's best friend.,The running dog avoids people.,1
His life lasted as long as a butterfly,His life lasted only a short amount of time.,His life lasted a very long time.,0
The air felt like knives against her skin,The air was so freezing it hurt.,The air was hot and humid.,0
The sculptor is a lumberjack,The sculptor is careful.,The sculptor is sloppy.,1
Her sight is as good as a mole,Her sight is excellent.,Her sight is terrible.,1
He has the money of Mr,Burns. He has a lot of money.,Magoo after mistaking a post-it notepad for his wallet. He has almost no money.,1
She is as dull as a knife,She is intelligent.,She is unintelligent.,0
His heart is as light as a feather,He is guilt free and happy.,He is cold and heartless.,0
When the morning is tough sip your hot coffee and watch the news,Do not let one bad thing ruin your whole day.,Look at the world others are having a much rougher day.,1
The party was as grand as a book club meeting,The party was large and full of excitement.,The party was uninteresting.,1
The task group worked at the rate of A drop of frozen molasses,The group worked slowly.,The group worked fast.,0
The temperature feels like outer space,The temperature is extremely hot.,The temperature is freezing cold.,1
The girl had the speed of a car in traffic,The girl is fast.,The girl is slow.,1
He has all the rationality of the Joker from Batman comics,He lacks rationality.,He's quite rational.,0
Winning this video game is as easy as giving candy to a child,Winning this game is so easy.,Winning this game is close to impossible.,0
The win was as satisfying as a bowl of chicken soup,The win was perfectly satisfying.,The win wasn't satisfying at all.,0
His bathroom was as clean as a landfill near a nuclear waste site,His bathroom was filthy.,His bathroom was spotless.,0
The phone is as loud as a whisper,The phone is very quiet.,The phone is very loud.,0
My sister is a Goldfish,My sister is smart.,My sister is not smart.,1
The roach was as frantic as a sleeping baby,It was going crazy.,It was calm.,1
The bowl is a durable baby turtle,The bowl is very durable.,The bowl is fragile.,1
Her greeting had the warmth of a snuffed out candle,Her greeting was affectionate and genuine.,Her greeting was indifferent and fake.,1
This place is as friendly as a party,This place is friendly.,This place is unfriendly and hostile.,0
The gem was as bright as coal,The gem was bright and shiny.,The gem was dark and dull.,1
Her dress was the colors of antique book pages,Her dress was dully colored.,Her dress was brightly colored.,0
The painter has the touch of a sledgehammer,The painter is forceful.,The painter is gentle.,0
Those two get along like a cold and vitamin-C,They get along really poorly.,They get along really well.,0
