startphrase,ending1,ending2,correct_label
So many responsibilities had Joe about as hungry as a whale,Joe was very hungry because of his responsibilities.,Joe was not very hungry because he had so much to do.,0
The ball is a big red sun,The ball is large and red.,The ball is small.,0
The boss was as angry as a charging rhinoceros,The boss was vrey upset.,The boss was even-tempered.,0
Her hair is A waterfall,Her hair is reflective and shiny.,Her hair is dry and lifeless.,0
Inflation is as high as the mariana trench,Inflation is very low.,Inflation is very high.,0
The nuclear reaction happened like falling dominoes,There were multiple steps to the reaction.,The reaction happened all at once.,0
The air felt like knives against her skin,The air was so freezing it hurt.,The air was hot and humid.,0
Love is an economic exchange,It's purely finance.,It's god like.,0
The hyperlink has the functionality of a brand new car,The hyperlink functions perfectly.,The hyperlink doesn't work.,0
The girl had the speed of a fast-food line worker,The girl is fast.,The girl is slow.,0
Her presence at the wedding was as expected as a nudist at a Baptist tent revival,Her presence at the wedding was unexpected.,Her presence at the wedding was very expected.,0
The boy moves as swiftly as a minnow swimming downstream,The boy moves with great swiftness.,The boy is very slow.,0
The horse has the staying power of a three-legged dog,The horse has little endurance.,The horse has lots of endurance.,0
The cake is a wet sponge,The cake is moist.,The cake is dry.,0
The book has the colors of a Fisher-Price kaleidoscope,The book is colorful.,The book is dull and lacks color.,0
The gossip was as juicy as A peach,The gossip was entertaining.,The gossip was boring.,0
Cats are scratches come to life,Cats are violent.,Cats are friendly.,0
This party has the electricity of a field of solar panels,The party is popping.,The party is boring.,0
Raising a teenager is playing craps against a table with rigged dice,Raising a teenager is fraught with impossible risks.,Raising a teenager is a pleasant surprise.,0
The math test was as simple as boiling pasta,The math test was a cinch.,The math test was very difficult.,0
The pills have the chalkiness of a sidewalk a dozen kids have drawn on,The pills are very chalky.,The pills aren't at all chalky.,0
My life is a circus and I am the freak show,I am a freak.,I control my life.,0
The painting is as random as a roll of dice,Anything goes; it is haphazard.,It is well thought out and systematic.,0
This life is a raging storm,This life is a crazy place to live in.,"This life is filled with good and bad things, happy and sad moments.",0
His mother gave him the respect of a king,His mothe respected him.,His mother disrespected him.,0
JON IS A HAS A MIND LIKE A SIEVE,JON IS A FOOLISH PERSON.,JON IS A KNOWLEDGEABLE PERSON.,0
The security team is effective as fighting a wildfire with a watergun,The security team is useless.,The security team is very effective.,0
He floats like a fish,He floats very well.,He doesn't float at all.,0
The movie has the charm of a blind date with a wild boar,The movie is not charming.,The movie is charming.,0
The movie has the depth of the brain function of the president of the Flat Earth Society,The movie is boring.,The movie is profound.,0
This new book is as profound as a Miltonian epic,"The book shows psychological depth, lyrical poetry, and appeal of a classic work of literature.",The book is simplistic and amateurish.,0
Those two get along like a cold and vitamin-C,They get along really poorly.,They get along really well.,0
The sisters were ribbons and bows,The sisters got along together.,The sisters did not mix well with each other.,0
The razor has the cutting power of a cartoon cat's claws,The razor cuts well.,The razor can barely cut at all.,0
"He was a d20 that always rolled a ""1.""",He was unlucky.,He was lucky.,0
The high student has as many things on her to-do list as a business executive,The high school student has a to-do list that's packed.,The high school student doesn't have much on her to-do list.,0
The road is thick fudge,The road is muddy.,The road is icy.,0
His love was a many forked road,His love was spread to many.,His love was straight and true.,0
The spa has the charm of a stink bug,The spa lacks amenities.,The spa is enjoyable.,0
This water is as clear as the La Brea Tar Pits,The water is very murky.,The water is very clear.,0
I'm as lively as a three year old before bedtime,I'm excited.,I'm tired.,0
The girl's personality is flat soda,The girl has a boring personality.,The girl has a bubbly personality.,0
The sky is as clear as ink,The sky is dark and cloudy.,The sky is bright and clear.,0
He had the moral values of a bloodthirsty vampire,He had no moral values.,He had a tremendous amount of moral values.,0
The man has the addiction of an alcoholic who's just discovered beer comes in not just cans but easily concealed bottles,The man's addiction is severe.,The man's addiction isn't very bad.,0
I've got the memory of an elephant,The person has a great memory.,The person has a really bad memory.,0
The dancer landed her jump with the grace of a cat,The dancer landed her jump gracefully.,The dancer landed her jump with a thud.,0
Her hair was as strong as Her wedding ring,Her hair was strong as metal.,Her hair was brittle.,0
He had the energy of a powerline,He had lots of energy.,He didn't have much energy.,0
He had funnels in his ears throughout the lecture,He did pay attention.,He did not pay attention.,0
His book was as hard to navigate as an Ikea,The book was hard to finish.,The book was easy to finish.,0
The sculpture has the fragility of a cannon made of gladd,It's likely to break.,It's practically unbreakable.,0
She sings like a bird,She sings well.,She can't sing.,0
The musician plays like as good as A gerbil,He plays badly.,He plays well.,0
The girl's temperament is a balloon,The girl is easily provoked.,The girl has a steady temperament.,0
Fame is as fleeting as A mosquito life span,Fame expires quickly.,Fame lasts a long time.,0
Ex friends calling you are as transparent as skyscraper glass windows,You can see through old friends contact attempts.,You have no idea why old friends contact you.,0
The poem was as romantic as a love-letter,The poem was very sweet and romantic.,The poem wasn't romantic at all.,0
The girl has the gracefulness of a military platoon,The girl doesn't have any grace.,The girl is very graceful.,0
The girl's facial expression was as clear as pea soup,The girl's facial expression was somewhat murky.,The girl's facial expression was obvious.,0
The old woman was a rocket,"The old woman was feisty, fiery, energetic, kinetic.",The old woman was still and unmovable.,0
Winning this video game is as easy as giving candy to a child,Winning this game is so easy.,Winning this game is close to impossible.,0
The car ride was as smooth as paper,The car ride went very smoothly.,The car ride was very bumpy.,0
The soup was as spicy as cinnamon hots,The soup was fiery in flavor.,The soup wasn't spicy at all.,0
He has the personality of a wet noodle,He has a flat and boring personality.,Rogers. He has a sweet and friendly personality.,0
He hustles like rent was due three days ago,He hustles hardcore.,He doesn't hustle at all.,0
The illusion has the convincibility of walking into a house and not seeing a ghost,The illusion is quite convincing.,The illusion is not convincing at all.,0
The dog has nerves of steel,The dog is fearless and unbothered.,The dog is easily upset and scared.,0
The movie has the humor of a funeral,The movie is sad.,The movie is funny.,0
The groom was feeling like a pig in mud,The groom was happy.,The groom was sad.,0
The win was as satisfying as a bowl of chicken soup,The win was perfectly satisfying.,The win wasn't satisfying at all.,0
She had all the honesty of a corporate lawyer,She wasn't very honest.,She was very honest.,0
The dress was as pretty as a picture,The dress was good looking.,The dress was ugly.,0
My friend is as loyal as a pack of hyenas,My friend is a backtabber.,My friend would take a secret to the grave.,0
Her eyes were cold rain down your collar,Her eyes made him feel uncomfortable.,Her eyes were comforting.,0
He has the villainy of Hitler on methamphetamine,He is quite the villain.,He's not very villainous.,0
The inflation rate these days is a horse running out of a stable,Inflation has gotten out of control.,Inflation is under control.,0
She is as dull as a knife,She is intelligent.,She is unintelligent.,0
The man was as handsome as a physician in a white coat,The man looked sharp.,The man was plain-looking.,0
The witness is like Like an old broom,They know about all the dirt.,They don't give up anything easily.,0
Her love was as valuable as The feseral reserve,He cherished her love.,She was not worth much to him.,0
The pants were as torn as a drunk's liver,The pants were messed up.,The pants were well put togther.,0
He cooked like a bomb-diffuser,He was precise in his way of cooking.,He was bad at cooking.,0
The girl was as down-to-earth as a Michelin-starred canape,The girl was not down-to-earth at all.,The girl was very down-to-earth.,0
The conversation has me sweating like a snowman in the summer,The conversation is intense.,The conversation is boring.,0
"The camel had the humps of Fergie as she depicts herself in the song ""My Humps""","The camel has big, mighty humps.",The camel is flat and lacks humps.,0
The school was full of young monkeys,The school was full of energetic children.,"The school was full of slow, lethargic children.",0
The pilot flew like a ballet dancer,The pilot flew in a restrained way.,The pilot flew in a creative way.,0
She swam like a cat,She didn't swim well.,She swam very well.,0
His depression was a gaping hole inside his heart,His depression weighed deeply inside of him and left him feeling alone.,Everyone in the room was aware of his depression and getting warning signs from it.,0
The girl treats her friends like Prada,The girl treasures her friends.,The girl treats her friends poorly.,0
My house is a castle,My house is elegant and proud.,My house is a mess.,0
This structure is as permanent as stone,The structure will last.,The structure will not last long.,0
This court trial is as fair as playing chess with a robot,The court trial is unfair.,The court trial is very fair.,0
The job is as easy as tying your shoes,The job is quite easy and almost everyone can do it.,The job is difficult.,0
Her house was clean like it had been cleaned by the servants of a violent king,The house was meticulously clean.,The house wasn't clean at all.,0
The party was as fun as paying electricity bills,The party was very boring.,The party was really fun.,0
The victory was like getting wet in a thunderstorm,The victory was too easy.,The victory was very hard-fought.,0
"To the audience, Sara's speech was bitter tea","To the audience, Sara's speech was hurtful.","To the audience, Sara's speech was pleasant.",0
The line move as fast as a scared cat,The line moves quickly.,The line moves slowly.,0
He is as loud as a teenager sneaking back into the house after curfew,He is quiet.,He is loud.,0
The crowd's reaction to the performance fizzled like fireworks,The crowd was enthusiastic.,The crowd was unenthusiastic.,0
The woman's back is a snake,The woman's back is wavy.,The woman's back is straight.,0
His heart is as light as a feather,He is guilt free and happy.,He is cold and heartless.,0
His life lasted as long as a butterfly,His life lasted only a short amount of time.,His life lasted a very long time.,0
Her morals were soggy cereal,Her morals were flexible.,Her morals were inflexible.,0
The list was long like a ribbon,The list was long.,The list was short.,0
The assignment was as clear as chocolate pudding,The assignment was hard to understand.,The assignment was easy to understand.,0
This person has the warmth of a desert,The person is kind.,The person is unkind.,0
The fruit has the blueness of a depressed painter's canvas,Th fruit is very blue.,The fruit isn't blue at all.,0
The CEO had the integrity of a politician,The CEO is dishonest.,The CEO is honest.,0
Love is mysterious like magic,Love cannot always be explained (in a good way).,Love is trouble.,0
He has the physique of a god,He's muscular and strong.,He's flimsy and weak.,0
He has all the rationality of the Joker from Batman comics,He lacks rationality.,He's quite rational.,0
The jumper leaped as high as a grasshopper,The jumper jumped high.,The jumper didn't jump high.,0
He's as ready as a steam engine,He's fully ready.,He's not ready at all.,0
The worker has the discipline of a wise chess master,The worker had great discipline.,on Christmas morning. The worker has little discipline.,0
