startphrase,completion
"His temper was a marshmallow. That is to say,", it was soft and easily melted
"His temper was a marshmallow. That is to say,"," it was easily melted, and he was a little slow to get it back under control"
"His temper was a marshmallow. That is to say,"," it was soft and fluffy on the outside, but when you poked it, it was hard as a rock"
"His temper was a marshmallow. That is to say,"," it was soft and fluffy, but it burned so hot that it could melt steel"
"He has the belly of an unblown balloon. That is to say,"," a soft, round belly, but no belly button"
"He has the belly of an unblown balloon. That is to say,"," he is not fat, but his stomach is distended with gas"
"He has the belly of an unblown balloon. That is to say,", he is fat
"He has the belly of an unblown balloon. That is to say,", his belly is quite flat
"The razor has the cutting power of a cartoon cat's claws. That is to say,", it cuts like a hot knife through butter
"The razor has the cutting power of a cartoon cat's claws. That is to say,", it's not very good at cutting
"The razor has the cutting power of a cartoon cat's claws. That is to say,"," it cuts hair, but not skin"
"The razor has the cutting power of a cartoon cat's claws. That is to say,"," it's sharp enough to shave hair, but it's not going to cut your throat"
"The sadness of her death was a planet. That is to say,"," it was a thing that had a mass and a presence and an orbit and a gravitational force, but it was not a thing that could be seen"
"The sadness of her death was a planet. That is to say,", it was not a small thing
"The sadness of her death was a planet. That is to say,", it was not a thing that could be held in the hand
"The sadness of her death was a planet. That is to say,", it was a very large thing
"The villain is as beautiful as the Joker. That is to say,"," he's a weirdly handsome, middle-aged man with a full head of hair"
"The villain is as beautiful as the Joker. That is to say,", he is not
"The villain is as beautiful as the Joker. That is to say,", he's not
"The villain is as beautiful as the Joker. That is to say,", he is not
"The child has the energy of a sloth. That is to say,", he is not very energetic
"The child has the energy of a sloth. That is to say,", it has the energy of a sloth on drugs
"The child has the energy of a sloth. That is to say,", the child has the energy of a sloth when he is awake
"The child has the energy of a sloth. That is to say,", he has the energy of a sloth on a good day
"The fortress appears as a pebble. That is to say,"," it is a small, round, smooth, and hard object"
"The fortress appears as a pebble. That is to say,", it is a small rock
"The fortress appears as a pebble. That is to say,", it is so small that the enemy does not notice it
"The fortress appears as a pebble. That is to say,"," it is a small and unassuming thing, but it is a pebble that can be used to crush many a skull"
"The girl moved as fast as a cheetah. That is to say,", very fast
"The girl moved as fast as a cheetah. That is to say,", she moved fast
"The girl moved as fast as a cheetah. That is to say,", not very fast
"The girl moved as fast as a cheetah. That is to say,", she was fast
"The event planning was met with clear skies. That is to say,", it was not raining
"The event planning was met with clear skies. That is to say,", the weather was perfect
"The event planning was met with clear skies. That is to say,", the weather was perfect
"The event planning was met with clear skies. That is to say,", the weather was perfect
"School is a prison. That is to say,", it is a place where you go to be punished for not having a job
"School is a prison. That is to say,"," it is a place where the inmates are kept under lock and key and, like prisoners, they are allowed to leave only under certain conditions"
"School is a prison. That is to say,", it is a place where the inmates are forced to stay
"School is a prison. That is to say,"," it is a place where you are forced to listen to what you don't want to listen to, and to learn things you don't want to learn"
"The room felt like a furnace. That is to say,", it felt like a furnace to the two men who were sitting in it
"The room felt like a furnace. That is to say,", it was hot
"The room felt like a furnace. That is to say,"," it felt like a furnace to me, but I was the only one sweating"
"The room felt like a furnace. That is to say,", it felt like the furnace in a furnace
"Vanity is the tailwind of reason. That is to say,"," the more vain a person is, the more likely he is to be reasonable"
"Vanity is the tailwind of reason. That is to say,"," if you are going to be a fool, you might as well make it a flying fool"
"Vanity is the tailwind of reason. That is to say,", reason is the wind and vanity is the sail
"Vanity is the tailwind of reason. That is to say,", it is the only thing that can make reason fly
"This guy has the charisma of a ball of clay. That is to say,", no charisma at all
"This guy has the charisma of a ball of clay. That is to say,", he has no charisma at all
"This guy has the charisma of a ball of clay. That is to say,", none
"This guy has the charisma of a ball of clay. That is to say,", he has none
"A chemical reaction is like a riot. That is to say,", it is a process of mass action
"A chemical reaction is like a riot. That is to say,", it is an event that is not controlled by the people involved in it
"A chemical reaction is like a riot. That is to say,", a chemical reaction is a process in which a whole lot of molecules are getting together and doing something
"A chemical reaction is like a riot. That is to say,"," it is an example of a phenomenon that is not orderly, not predictable, not controllable"
"The sadness of her death was a flea. That is to say,"," it was a flea that was a flea, but it was also a sadness"
"The sadness of her death was a flea. That is to say,", it was a flea that jumped on the back of a flea that jumped on the back of a flea that was on the back of a flea that was on the back of a flea that was on the back of a flea that was on the back of a flea that was on the back of a flea that was on the back of a flea that was on the back of a flea that was on the back of a flea that was on the back
"The sadness of her death was a flea. That is to say,", it was a flea that bit me
"The sadness of her death was a flea. That is to say,", it was a flea that bit a dog
"The man was had the strength of a lion. That is to say,", he was a lion
