startphrase,completion
"His temper was a marshmallow.That is to say,", he was a quick study and a quick writer
"His temper was a marshmallow.That is to say,", he was not a very good man
"His temper was a marshmallow.That is to say,", he was a man of the world
"His temper was a marshmallow.That is to say,"," he was a very nice man, but he was also an extremely stubborn man"
"He has the belly of an unblown balloon.That is to say,", he has the belly of an unblown balloon
"He has the belly of an unblown balloon.That is to say,", he is a man of the world
"He has the belly of an unblown balloon.That is to say,", he has the belly of a man
"He has the belly of an unblown balloon.That is to say,", he is a man who has been blown up by his own ego
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it can cut
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it is a very sharp blade
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it is sharp enough to cut through a thick wooden plank
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it's not a good idea to try using one of these on a regular basis
"The sadness of her death was a planet.That is to say,", it was not a person
"The sadness of her death was a planet.That is to say,", it was a planet of sadness
"The sadness of her death was a planet.That is to say,"," she was a planet, and a planet is a planet is a planet"
"The sadness of her death was a planet.That is to say,"," it was a planet that was never born, nor will it ever die"
"The villain is as beautiful as the Joker.That is to say,"," he is very handsome, and he is a very good actor"
"The villain is as beautiful as the Joker.That is to say,"," he is a malevolent, evil, and scary character"
"The villain is as beautiful as the Joker.That is to say,", she is beautiful in a way that makes you want to kill her
"The villain is as beautiful as the Joker.That is to say,", he is as beautiful as the Joker
"The child has the energy of a sloth.That is to say,", he has no energy at all
"The child has the energy of a sloth.That is to say,", the child is not in the habit of doing anything
"The child has the energy of a sloth.That is to say,", he is sluggish and lazy
"The child has the energy of a sloth.That is to say,", he is a lazy and inactive child
"The fortress appears as a pebble.That is to say,"," it is a rock-like structure, but it is not a rock"
"The fortress appears as a pebble.That is to say,", the fortress is not a rock but a pebble
"The fortress appears as a pebble.That is to say,", it is a pebble that is not a fortress
"The fortress appears as a pebble.That is to say,", it is not a stone
"The girl moved as fast as a cheetah.That is to say,", she moved with the speed of a cheetah
"The girl moved as fast as a cheetah.That is to say,", she was faster than a cheetah
"The girl moved as fast as a cheetah.That is to say,", she was fast
"The girl moved as fast as a cheetah.That is to say,", she moved so fast that she was only able to get out of the way of the two men
"The event planning was met with clear skies.That is to say,", the weather was good
"The event planning was met with clear skies.That is to say,", the sky was clear and the sun was shining
"The event planning was met with clear skies.That is to say,", the weather was perfect for the event
"The event planning was met with clear skies.That is to say,", the weather was perfect for the event
"School is a prison.That is to say,"," it is a place where people are punished for their crimes, not for their character"
"School is a prison.That is to say,", it's a place where people are punished for their thoughts and actions
"School is a prison.That is to say,"," it is a place where people are taught to hate themselves, to hate their fellow man, and to hate the world in general"
"School is a prison.That is to say,", it is a place where the criminal is punished
"The room felt like a furnace.That is to say,", it felt like a furnace
"The room felt like a furnace.That is to say,", it was hot
"The room felt like a furnace.That is to say,"," the temperature was high, but the air was not"
"The room felt like a furnace.That is to say,", it was hot
"Vanity is the tailwind of reason.That is to say,", it is the wind that carries the tail of the reason
"Vanity is the tailwind of reason.That is to say,"," the more you do something, the more you're going to be able to do it"
"Vanity is the tailwind of reason.That is to say,"," the more you think about something, the more you will want to do it"
"Vanity is the tailwind of reason.That is to say,"," if you're going to be a jerk, at least be a jerk with a good reason"
"This guy has the charisma of a ball of clay.That is to say,", he is a man of the people
"This guy has the charisma of a ball of clay.That is to say,", he is a ball of clay
