startphrase,completion
"His temper was a marshmallow.That is to say,", it was soft and fluffy and easy to melt
"His temper was a marshmallow.That is to say,", it was soft and fluffy
"His temper was a marshmallow.That is to say,",until he met me
"His temper was a marshmallow.That is to say,"," he was very easily angered, and once he was, he was very hard to cool down"
"He has the belly of an unblown balloon.That is to say,", he is fat
"He has the belly of an unblown balloon.That is to say,", he is fat
"He has the belly of an unblown balloon.That is to say,", he is a big man
"He has the belly of an unblown balloon.That is to say,", he is a fat man
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it's not very sharp
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it cuts hair
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it doesn't
"The razor has the cutting power of a cartoon cat's claws.That is to say,"," it cuts, but not very well"
"The sadness of her death was a planet.That is to say,"," the sadness of her death was a planet, a planet of sadness"
"The sadness of her death was a planet.That is to say,", it was a force of nature
"The sadness of her death was a planet.That is to say,"," she was a planet, and the sadness was a planet"
"The sadness of her death was a planet.That is to say,", it was a ball of sadness
"The villain is as beautiful as the Joker.That is to say,"," he is a man with a disfigured face, but he is not a character with a face that is ugly to the point of being scary"
"The villain is as beautiful as the Joker.That is to say,", he's not
"The villain is as beautiful as the Joker.That is to say,", he is a freak
"The villain is as beautiful as the Joker.That is to say,", he is the most beautiful of all the villains in the DC universe
"The child has the energy of a sloth.That is to say,", he is lazy
"The child has the energy of a sloth.That is to say,", he is lazy
"The child has the energy of a sloth.That is to say,", she is a slow mover
"The child has the energy of a sloth.That is to say,", he is a sloth
"The fortress appears as a pebble.That is to say,"," it is a pebble, a stone, a piece of rock, a boulder, a lump of earth"
"The fortress appears as a pebble.That is to say,", it is not visible to the naked eye
"The fortress appears as a pebble.That is to say,", it is a pebble that is a fortress
"The fortress appears as a pebble.That is to say,", it is a pebble that is the size of a fortress
"The girl moved as fast as a cheetah.That is to say,", she moved faster than any other girl I'd ever seen
"The girl moved as fast as a cheetah.That is to say,", she moved as fast as a cheetah would if it were a human girl
"The girl moved as fast as a cheetah.That is to say,", faster than a human
"The girl moved as fast as a cheetah.That is to say,", she moved fast
"The event planning was met with clear skies.That is to say,", the weather was perfect
"The event planning was met with clear skies.That is to say,", the weather was perfect
"The event planning was met with clear skies.That is to say,", the planners had to work with the weather and the weather was not cooperating
"The event planning was met with clear skies.That is to say,", the weather was just right
"School is a prison.That is to say,", school is a prison for the mind
"School is a prison.That is to say,"," it is a place of confinement, where the inmates are expected to follow the rules of the institution"
"School is a prison.That is to say,"," it is a place where children are forced to spend long periods of time, where they are forced to do things they would not otherwise do, where they"
"School is a prison.That is to say,"," it is a place where you are forced to be with people you don't want to be with, do things you don't want to do, and"
"The room felt like a furnace.That is to say,", it was a normal room
"The room felt like a furnace.That is to say,", it was a bit hot
"The room felt like a furnace.That is to say,"," the temperature was normal, but the atmosphere was stifling"
"The room felt like a furnace.That is to say,", it felt like a furnace to me
"Vanity is the tailwind of reason.That is to say,"," when you are doing something that is good for you, you feel good about it, and you feel good about doing it"
"Vanity is the tailwind of reason.That is to say,"," the more you have of it, the more you'll have of reason"
"Vanity is the tailwind of reason.That is to say,"," the more you are aware of your own flaws, the less you are likely to be swayed by them"
"Vanity is the tailwind of reason.That is to say,"," the more reason we have, the more we want"
"This guy has the charisma of a ball of clay.That is to say,", he has no charisma
"This guy has the charisma of a ball of clay.That is to say,", he doesn't have any
"This guy has the charisma of a ball of clay.That is to say,", he has no charisma at all
"This guy has the charisma of a ball of clay.That is to say,", he has no charisma
"A chemical reaction is like a riot.That is to say,", it is a violent process
"A chemical reaction is like a riot.That is to say,", it is a violent process
"A chemical reaction is like a riot.That is to say,", a chemical reaction is a process that involves the collision of molecules
"A chemical reaction is like a riot.That is to say,", it is an uncontrolled and dangerous event
"The sadness of her death was a flea.That is to say,", it was not a big deal
"The sadness of her death was a flea.That is to say,", it was a flea that was a flea
"The sadness of her death was a flea.That is to say,", it was a flea that was a flea
"The sadness of her death was a flea.That is to say,", it was a flea that was a sadness
"The man was had the strength of a lion.That is to say,", he was very strong
"The man was had the strength of a lion.That is to say,", he was stronger than any human being
"The man was had the strength of a lion.That is to say,", he was very strong
"The man was had the strength of a lion.That is to say,", he was a very strong man
"She had all the honesty of a corporate lawyer.That is to say,", she had none
"She had all the honesty of a corporate lawyer.That is to say,", none
"She had all the honesty of a corporate lawyer.That is to say,", none
"She had all the honesty of a corporate lawyer.That is to say,", none
"The girl moved as fast as a turtle.That is to say,", she moved at a turtle's pace
"The girl moved as fast as a turtle.That is to say,", not very fast
"The girl moved as fast as a turtle.That is to say,"," she moved as fast as a turtle, but she was a turtle"
"The girl moved as fast as a turtle.That is to say,", she moved at a turtle's pace
"He has the attitude of the Grinch at Halloween.That is to say,", he is not happy
"He has the attitude of the Grinch at Halloween.That is to say,", he is a Grinch
"He has the attitude of the Grinch at Halloween.That is to say,", he is in a very bad mood
"He has the attitude of the Grinch at Halloween.That is to say,", he is not happy
"His skill in writing was as sharp as a knife.That is to say,", he was a master of the written word
"His skill in writing was as sharp as a knife.That is to say,", his writing was like a knife
"His skill in writing was as sharp as a knife.That is to say,", he was a good writer
"His skill in writing was as sharp as a knife.That is to say,", it was sharp enough to cut through the most complicated of matters
"He's got the swimming ability of a pack of dolphins.That is to say,", he's got none
"He's got the swimming ability of a pack of dolphins.That is to say,", he can't swim
"He's got the swimming ability of a pack of dolphins.That is to say,", he's not very good at it
"He's got the swimming ability of a pack of dolphins.That is to say,", he can't swim
"My wife's cooking tastes like heaven.That is to say,", it tastes like heaven to me
"My wife's cooking tastes like heaven.That is to say,", it tastes like heaven to me
"My wife's cooking tastes like heaven.That is to say,", it tastes like heaven to me
"My wife's cooking tastes like heaven.That is to say,", it's not very good
"He has the nose of Michaelangelo's David.That is to say,", he has a nose that is perfect in every way
"He has the nose of Michaelangelo's David.That is to say,", it's a big nose
"He has the nose of Michaelangelo's David.That is to say,", he has no nose
"He has the nose of Michaelangelo's David.That is to say,", it is a nose that is perfectly in balance with the rest of his face
"The razor has the cutting power of a declawed kitten.That is to say,", it's a kitten
"The razor has the cutting power of a declawed kitten.That is to say,", it doesn't have any cutting power whatsoever
"The razor has the cutting power of a declawed kitten.That is to say,", it cuts as well as a declawed kitten would
"The razor has the cutting power of a declawed kitten.That is to say,", it does not cut
"That boy has the sense of a rock.That is to say,", he has no sense at all
"That boy has the sense of a rock.That is to say,", he has no sense at all
"That boy has the sense of a rock.That is to say,", he has no sense at all
"That boy has the sense of a rock.That is to say,", he has no sense at all
"My wife's cooking tastes like cardboard.That is to say,", it tastes like cardboard
"My wife's cooking tastes like cardboard.That is to say,", she can't cook
"My wife's cooking tastes like cardboard.That is to say,", it tastes like it's been made from cardboard
"My wife's cooking tastes like cardboard.That is to say,", it tastes like cardboard to me
"The teacher's grading policy was as flexible as a steel beam.That is to say,", it was rigid and unbending
"The teacher's grading policy was as flexible as a steel beam.That is to say,", it was rigid and unbending
"The teacher's grading policy was as flexible as a steel beam.That is to say,", it was rigid as a steel beam
"The teacher's grading policy was as flexible as a steel beam.That is to say,", it was rigid and unbending
"The pillow was as soft as a cloud.That is to say,", it was not soft at all
"The pillow was as soft as a cloud.That is to say,", it was as soft as it was possible for a pillow to be
"The pillow was as soft as a cloud.That is to say,", it was made of clouds
"The pillow was as soft as a cloud.That is to say,", it was as soft as a cloud
"The room felt like a cooler.That is to say,", it felt like a cooler
"The room felt like a cooler.That is to say,", it was a little cold
"The room felt like a cooler.That is to say,", it was cold
"The room felt like a cooler.That is to say,"," it felt like a cooler that had been turned on, but was not actually cooling anything"
"The conversation has me feeling like I just ate the whole Thanksgiving turkey.That is to say,", I'm stuffed
"The conversation has me feeling like I just ate the whole Thanksgiving turkey.That is to say,", stuffed
"The conversation has me feeling like I just ate the whole Thanksgiving turkey.That is to say,", I'm feeling stuffed
"The conversation has me feeling like I just ate the whole Thanksgiving turkey.That is to say,", I feel stuffed
"The military is as organized as a toddler's bedroom.That is to say,", not very
"The military is as organized as a toddler's bedroom.That is to say,", not very
"The military is as organized as a toddler's bedroom.That is to say,", not very
"The military is as organized as a toddler's bedroom.That is to say,", it's a mess
"The ball is a big red sun.That is to say,", the ball is a big red sun
"The ball is a big red sun.That is to say,", the ball is a big red sun
"The ball is a big red sun.That is to say,", it is a sphere
"The ball is a big red sun.That is to say,", the ball is a big red sun
"The actor has the fame of a box of rocks.That is to say,", he is famous for being famous
"The actor has the fame of a box of rocks.That is to say,", he is famous for being famous
"The actor has the fame of a box of rocks.That is to say,", he has the fame of a box of rocks
"The actor has the fame of a box of rocks.That is to say,", he has no fame at all
"This guy has the charisma of a Greek god.That is to say,", he has none
"This guy has the charisma of a Greek god.That is to say,", he has none
"This guy has the charisma of a Greek god.That is to say,", he doesn't have any
"This guy has the charisma of a Greek god.That is to say,", he has none
"This dog is as aggressive as a heavyweight fighter.That is to say,", he is very aggressive
"This dog is as aggressive as a heavyweight fighter.That is to say,", he is very friendly
"This dog is as aggressive as a heavyweight fighter.That is to say,", he is aggressive when he wants to be
"This dog is as aggressive as a heavyweight fighter.That is to say,", he has a lot of energy and is always on the move
"The book plot was as straightforward as a Y-axis.That is to say,", it was a straight line
"The book plot was as straightforward as a Y-axis.That is to say,", it was a straight line
"The book plot was as straightforward as a Y-axis.That is to say,", it was a straight line
"The book plot was as straightforward as a Y-axis.That is to say,", it was a straight line
"The conductor is a demolition derby.That is to say,"," he is a man who has a lot of power over the lives of others, and he uses that power to make himself feel good"
"The conductor is a demolition derby.That is to say,"," it's a lot of people doing a lot of things at once, and the only way to get anything done is to get in people's way"
"The conductor is a demolition derby.That is to say,", the conductor is a demolition derby
"The conductor is a demolition derby.That is to say,", the conductor is a demolition derby
"The fortress appears as a boulder.That is to say,", the fortress is a boulder and a boulder is the fortress
"The fortress appears as a boulder.That is to say,", it is a boulder
"The fortress appears as a boulder.That is to say,"," it is a small boulder that is not visible to the naked eye, but if you look at it with the naked eye, it is a boulder"
"The fortress appears as a boulder.That is to say,", a large rock
"The critic's review of the concert rang of The lavish praise given to a king.That is to say,", the critic praised the king by praising his subjects
"The critic's review of the concert rang of The lavish praise given to a king.That is to say,", the critic was a sycophant
"The critic's review of the concert rang of The lavish praise given to a king.That is to say,", the critic praised the king as if he were a god
"The critic's review of the concert rang of The lavish praise given to a king.That is to say,", it was not a review at all
"The clothing has the smell of roses.That is to say,", it has the smell of the rose
"The clothing has the smell of roses.That is to say,", it is a very good smell
"The clothing has the smell of roses.That is to say,", the smell of the rose is a smell of the rose
"The clothing has the smell of roses.That is to say,", it is the smell of the rose
"The businessman was as aggressive in negotiations as a secretary.That is to say,", he was not
"The businessman was as aggressive in negotiations as a secretary.That is to say,", he was too passive
"The businessman was as aggressive in negotiations as a secretary.That is to say,", he was a very aggressive secretary
"The businessman was as aggressive in negotiations as a secretary.That is to say,", he was very aggressive
"The book's plot was as twisted as a parade of soldiers.That is to say,"," it was a little hard to follow at first, but it was still a very interesting read"
"The book's plot was as twisted as a parade of soldiers.That is to say,", it was a tangled mess
"The book's plot was as twisted as a parade of soldiers.That is to say,", it was not twisted at all
"The book's plot was as twisted as a parade of soldiers.That is to say,", it was convoluted
"Vanity is the quicksand of reason.That is to say,", it is the sinking of reason in the sand of the imagination
"Vanity is the quicksand of reason.That is to say,",it is the quicksand of reason which makes it impossible to reason
"Vanity is the quicksand of reason.That is to say,"," the more you struggle, the more you sink"
