startphrase,ending1,ending2,answer,notes
The NHL player was a surgeon.,The NHL player was sloppy.,The NHL player was careful.,1,
His depression was a gaping hole inside his heart.,His depression weighed deeply inside of him and left him feeling alone.,Everyone in the room was aware of his depression and getting warning signs from it.,0,
The inflation rate these days is a pig in a pen,Inflation has gotten out of control.,Inflation is under control.,0,
The NHL player was a woodpecker.,The NHL player was sloppy.,The NHL player was careful.,1,
The football player's effort was a tortoise,The football player put forth a ton of effort.,The football player put forth no effort.,1,
The girl had the speed of a car in traffic,The girl is fast.,The girl is slow.,1,
He's talks like a machine gun.,He talks really fast.,He talks really slowly.,0,
The venture was blown out to sea,The venture was innovative,The venture was unsuccessful,1,
"To the audience, Sara's speech was bitter tea.","To the audience, Sara's speech was hurtful.","To the audience, Sara's speech was pleasant.",0,
This life is a raging storm,This life is a crazy place to live in.,"This life is filled with good and bad things, happy and sad moments.",0,
The cat was as angry as a sleeping puppy,the cat was mad,The cat was docile,1,
That man has the laughter of a mouse,It's a very loud and deep laugh,It's barely audible and high-pitched,1,
My colleague's project looked like the work of a third-grader,My colleague's project is very rudimentary.,My colleague's project is very sophisticated.,0,
The venture was charting new waters,The venture was innovative,The venture was unsuccessful,0,
The blanker provides the warmth of a thousand suns,The blanket provides a lot of warmth,The blanket provides little warmth,0,
His depression lit the room in red warning signs.,His depression weighed deeply inside of him and left him feeling alone.,Everyone in the room was aware of his depression and getting warning signs from it.,1,
He's talks like a a hungover DMV employee.,He talks really fast.,He talks really slowly.,1,
The football player's effort was a hurricane,The football player put forth a ton of effort.,The football player put forth no effort.,0,
The chocolate cake is as fluffy as a mattress,The chocolate cake is light.,The chocolate cake is dense.,1,
He has the unconsciousness of an owl in the middle of the night after five cups of coffee,He's completely unconscious,He's extremely conscious,1,
Even a monkey falls from a tree sometimes,Experts can fail sometimes,Novices can succeed sometimes,0,
Her waist has the width of a toothpick,Her waist is really skinny.,Her waist is really wide.,0,
The flea medication is a fully charged defibrillator.,The flea medication is ineffective.,The flea medication is efficacious.,1,
The football player has the agility of a solenodon.,The football player is a klutz.,The football player is lithe.,0,not sure what solenodon is
Even a monkey writes a sonnet sometimes,Experts can fail sometimes,Novices can succeed sometimes,1,
This actor has the dynamism of an electrical substation.,This actor is not dynamic.,This actor is extremely dynamic.,1,
The boy was as innocent as a dove,the boy was pure,the boy was evil,0,
