startphrase,ending1,ending2,answer,guess
His temper was a marshmallow.,He had a terrible temper.,He didn't really have a temper.,2,
He has the belly of an unblown balloon,His belly is large,He has a tiny belly,1,
The razor has the cutting power of a cartoon cat's claws,The razor cuts well,The razor can barely cut at all,1,I'm not really sure?
The sadness of her death was a planet,The sadness was large,The sadness was small,1,
The villain is as beautiful as the Joker.,The villain is hideous.,The villain is gorgeous.,1,
The child has the energy of a sloth,The child lacks energy.,The child is energetic.,1,
The fortress appears as a pebble,The fortress is large,The fortress is small,2,
The girl moved as fast as a cheetah,The girl was quick,The girl was slow,1,
The event planning was met with clear skies,The planning ran into several problems,The planning was easy and without issue,2,
School is a prison,School is rowdy and entertaining,School is full of restraint,2,
The room felt like a furnace,The room was cold,The room was hot,2,
Vanity is the tailwind of reason,Vanity destroys reason,Vanity motivates reason,2,
This guy has the charisma of a ball of clay.,"This guy is bland and boring, with no appeal.",This guy is incredibly appealing to the point of being legendary.,1,
A chemical reaction is like a riot,The reaction is orderly,The reaction is disorderly,2,
The sadness of her death was a flea,The sadness was large,The sadness was small,2,
The man was had the strength of a lion,The man was very strong.,The man was very weak.,1,
She had all the honesty of a corporate lawyer.,She wasn't very honest.,She was very honest.,1,
The girl moved as fast as a turtle,The girl was quick,The girl was slow,2,
He has the attitude of the Grinch at Halloween,He has a bad attitude,He's got a good attitude,1,"I'm really taken by the ambiguity here. I don't know if there are sequels or anything, but does the grinch like halloween? Assuming that this reads as ""on halloween, he has the attitude of a grinch"""
His skill in writing was as sharp as a knife.,Her writing skill is excellent.,Her writing skill is poor.,1,
He's got the swimming ability of a pack of dolphins,He can swim well,He isn't good at swimming,1,
My wife's cooking tastes like heaven,My wife is a terrible cook.,My wife is an excellent cook.,1,
He has the nose of Michaelangelo's David,His nose is good looking,His nose looks ugly,1,"A lot of statues are pretty notably missing noses, so wasn't entirely sure about this one."
The razor has the cutting power of a declawed kitten,The razor cuts well,The razor can barely cut at all,2,
That boy has the sense of a rock.,The boy is stupid.,The boy is a genius.,1,
My wife's cooking tastes like cardboard,My wife is a terrible cook.,My wife is an excellent cook.,1,
The teacher's grading policy was as flexible as a steel beam,The teacher's grading policy was very flexible.,The teacher's grading policy was very rigid.,2,
The pillow was as soft as a cloud,The pillow was soft,the pillow was hard,1,
The room felt like a cooler,The room was cold,The room was hot,1,
The conversation has me feeling like I just ate the whole Thanksgiving turkey,The conversation is intense,The conversation is boring,2,
The military is as organized as a toddler's bedroom.,The military is very organized.,The military is not organized at all.,2,
The ball is a big red sun.,The ball is large and red.,The ball is small.,1,
The actor has the fame of a box of rocks,The actor is very well known,The actor is not very well known,2,"I think I get the sense that this is trying to convey, but it seems more about the valence of a box of rocks more generally? This makes very little sense on its face"
This guy has the charisma of a Greek god.,"This guy is bland and boring, with no appeal.",This guy is incredibly appealing to the point of being legendary.,2,
This dog is as aggressive as a heavyweight fighter,it is mean,it is harmless,1,
The book plot was as straightforward as a Y-axis,The book plot was very straightforward.,The book plot was very twisted.,1,
The conductor is a demolition derby.,The conductor is careful.,The conductor is sloppy.,2,
The fortress appears as a boulder,The fortress is large,The fortress is small,1,
