startphrase,ending1,ending2,answer,guess
The plot of the show is as clear as mud.,The plot of the show isn't clear at all.,The plot of the show is very clear.,1,
This structure is as permanent as stone,The structure will last.,The structure will not last long.,1,
The soup was as spicy as cinnamon hots,The soup was fiery in flavor.,The soup wasn't spicy at all.,1,g
The relationship between Democrats and Republicans is that over a couple married for 50 years.,Democrats and Republicans do not get along.,Democrats and Republicans tolerate each other.,2,
The song has the melody of nails on a chalkboard.,The song has a beautiful melody.,The song has a very unpleasant melody and sound.,2,
The football player was a dancer.,The football player was clumsy.,The football player was careful.,2,
He floats like a stone.,He floats very well.,He doesn't float at all.,2,
The party was as fun as paying electricity bills,The party was very boring.,The party was really fun.,1,
The wind screamed like a banshee,The wind was light.,The wind was heavy.,2,g
The lawn mower has the power of a fire fly.,The lawn mower doesn't work well.,The lawn mower cuts efficiently.,1,
This structure is as permanent as sand,The structure will last.,The structure will not last long.,2,
She is as dull as a knife,She is intelligent,She is unintelligent,1,
The wind cooed like a lover,The wind was light.,The wind was heavy.,2,g
His new car has as much power as Chernobyl today.,The car has lots of power.,The car is so low in power it's not working.,1,g
The government plan is as expensive as penny candy,it is a lot,it is cheap,2,
The pizza was as large as the moon,The pizza was enormous.,The pizza was tiny.,1,
The phone is as loud as a fog horn,The phone is very quiet,The phone is very loud,2,
The water is as clear as glass,the water is clean,the water is dirty,1,
The movie plot was as intricate as A child's first toy,The movie plot was convoluted,The movie plot was simple.,2,
The gambler had the luck of a leprechaun covered in four-leaf clovers.,The gambler was lucky,The gambler was unlucky.,1,
The girl lies as much as Jesus,The girl lies all the time.,The girl never lies.,2,g
This person has the warmth of an icicle,The person is kind.,The person is unkind.,2,
That light is as bright as midnight,the light is shiny,the light is dim,2,
The bottle was as rare as a gem,The bottle was rare,The bottle was common,1,
The girl lies as much as a presidential candidate,The girl lies all the time.,The girl never lies.,1,
The meal was like a hot bath,The meal was invigorating,The recipient dreaded what came next while eating,1,
Comedy is a rainstorm,Comedy is good,Comedy is bad,2,g
The phone is as loud as a whisper,The phone is very quiet,The phone is very loud,1,
The plot of the show is as clear as crystal.,The plot of the show isn't clear at all.,The plot of the show is very clear.,2,
The highway is a snake.,The highway is winding.,The highway is straight.,1,
The cake is as moist as a greenhouse in the Amazon,It's very moist,It's incredibly dry,1,
The bottle was as rare as dirt,The bottle was rare,The bottle was common,2,
The relationship between Democrats and Republicans is as frigid as an Artic swimming pool.,Democrats and Republicans do not get along.,Democrats and Republicans tolerate each other.,2,
Comedy is sunshine,Comedy is good,Comedy is bad,1,
He is as adorable as a sewer rat,he's cute,he's ugly,2,
The witness is like Like an All-Star linebacker,They know about all the dirt,They don't give up anything easily,2,g
The car's engine runs as smooth as a pig on stilts,The car's engine runs rough,The car's engine runs smooth,1,
The car's engine runs as smooth as glass,The car's engine runs rough,The car's engine runs smooth,2,
Her boyfriend treats her like a wad of chewed gum,Her boyfriend doesn't treat her well.,Her boyfriend treats her very well.,1,
The software is a fortress,The software is well protected,the software is messy,1,
The jumper leaped as high as a grasshopper,The jumper jumped high.,The jumper didn't jump high.,1,
The game has all the challenge of learning to walk again after breaking both legs,The game is fairly challenging,The game lacks challenge,1,
The boy's style is as current as a boomer's myspace home page.,His style is out of date.,His style is up to date.,1,g
The movie plot was as intricate as A politician's mind,The movie plot was convoluted,The movie plot was simple.,1,
That book was like a trip to the Disneyworld,That book was boring and tedious,That book was a fun adventure,2,
The woman was the size of a dump truck,The woman was fat.,The woman was thin.,1,
That book was like paying your taxes,That book was boring and tedious,That book was a fun adventure,1,
The party was as fun as going to Six Flags,The party was very boring.,The party was really fun.,2,
His attention span is as long as a hair pin,He has a really good attention span.,His attention span is nonexistent.,2,
He has the morality of the snake in the Garden of Eden,He is very moral,He lacks morality,2,
She is as dull as a spoon,She is intelligent,She is unintelligent,2,
This beach has the serenity of an eighty-year monk.,The beach was very serene.,The beach was not very serene.,1,
Her wit was a sharp as a tack,She was extremely witty.,She was dull at the best of times.,1,
Her boyfriend treats her like a CEO,Her boyfriend doesn't treat her well.,Her boyfriend treats her very well.,2,
The cake is as moist as the surface of Mercury,It's very moist,It's incredibly dry,2,
That light is as bright as the sun,the light is shiny,the light is dim,1,
