x_1,x_2,y_1,y_2,P(x_1),P(x_2),P(y_1),P(y_2),"P(x_1, y_1)","P(x_1, y_2)","P(x_2, y_1)","P(x_2, y_2)",P(y_1|x_1),P(y_2|x_2),P(x_1|y_1),P(x_2|y_2)
He should be back before more sunlight reaches us,He should be back before the sun implodes,He will be back quickly,He will be back slowly,0.0034699263762557513,0.011195036430281349,0.015459990132006834,0.009561040237944574,0.012439285157001897,0.010153907431809673,0.025385707402945604,0.019053535110666216,0.5505766884473859,0.4287547229192775,0.328864179874915,0.6523520531781234
Her commitment to the cause was as sturdy as oak,Her commitment to the cause was as sturdy as plywood,She was committed,She was uncommitted,0.015045458181459592,0.022371535641817885,0.006332815922689894,0.002859543351523596,0.027969207772836763,0.02121609057805008,0.03753304976006309,0.03384355041242258,0.5686497532922348,0.4741546995883481,0.4269960887804311,0.6146707425549461
The crowd's reaction to the performance fizzled like fireworks,The crowd's reaction to the performance fizzled like flat soda,The crowd was enthusiastic,The crowd was unenthusiastic,0.012527059481710139,0.006602571419570861,0.007545401467362465,0.01286836895286728,0.03410604493273977,0.03411609696601832,0.013915178889266282,0.03278622627909793,0.49992632865959075,0.702039396050282,0.7102285660014863,0.4900611023473129
The pilot flew like a ballet dancer,The pilot flew like a modern dancer,The pilot flew in a restrained way,The pilot flew in a creative way,0.00983485240850384,0.0034113997390618294,0.001089357292510792,0.005025170675749476,0.0209409377945326,0.02282555440963905,0.013618324069865562,0.016106153624088272,0.4784696405835465,0.5418481626462481,0.6059428548184729,0.41370272298701066
He had the air of a cult leader,He had the air of a church leader,People were intimidated by him,People were not intimidated by him,0.0426167850646902,0.025068273915706363,0.019952866580293757,0.019479760262050682,0.04414012158363502,0.029196625685938466,0.02902120116312471,0.021955769041123244,0.6018827290141925,0.4306997640925637,0.603325909462045,0.42922270126891526
The venture was charting new waters,The venture was blown out to sea,The venture was innovative,The venture was unsuccessful,0.005324995266707252,0.005644885917934838,0.0008424389782836909,0.002757032210421218,0.023953243302358974,0.02382107646248178,0.013197242866318782,0.03530654019722798,0.5013832414624401,0.727913122796452,0.6447625797843363,0.5971243590017093
She was as bright as diamond,She was as bright as obsidian,She was intelligent,She was unintelligent,0.024316371653804358,0.03266403492746064,0.006188984240995113,0.0059490675936380395,0.03443194198480023,0.01662834833851282,0.029356909904647215,0.025588946036204516,0.6743389386699067,0.4657120286514524,0.5397799296415349,0.6061247272049003
Vanity is the quicksand of reason,Vanity is the tailwind of reason,Vanity destroys reason,Vanity motivates reason,0.00966641118240482,0.007987253096666718,5.5273976321205824e-05,0.0001360029558057442,0.016413069927309343,0.008319004325677745,0.011323565376456676,0.01344169436845815,0.6636349931436505,0.5427641182410049,0.5917469710206996,0.6177050910631117
The movie has the depth of the ocean,The movie has the depth of a wading pool,The movie is profound,The movie is vapid,0.05337940527092392,0.0627306470044588,0.004504499514359615,0.01094729656092863,0.05419007778902359,0.04019251029986564,0.04933920392103466,0.060971892455699825,0.5741533357613329,0.552726737911013,0.523427545269628,0.6027010568432928
Even a monkey falls from a tree sometimes,Even a monkey writes a sonnet sometimes,Experts can fail sometimes,Novices can succeed sometimes,0.006819072154112068,0.0029327065419420006,0.004822944655414238,0.00046275787927469076,0.006012506658718049,0.00465189536332756,0.00220652617017021,0.002174467587567297,0.5637921982206697,0.4963411745855273,0.7315345715112963,0.31853969723104886
