x_1	x_2	y_1	y_2	P(x_1)	P(x_2)	P(y_1)	P(y_2)	P(x_1, y_1)	P(x_1, y_2)	P(x_2, y_1)	P(x_2, y_2)	P(y_1|x_1)	P(y_2|x_2)	P(x_1|y_1)	P(x_2|y_2)
He should be back before more sunlight reaches us	He should be back before the sun implodes	He will be back quickly	He will be back slowly	0.015228021992994972	0.020513012013764657	0.013969068504316602	0.007935006698918168	0.024512960183627048	0.020105422998496693	0.02913304347021045	0.02392267525281646	0.549391493716162	0.4508972044597652	0.4569391662760614	0.5433501832458312
Her commitment to the cause was as sturdy as oak	Her commitment to the cause was as sturdy as plywood	She was committed	She was uncommitted	0.01766132767584846	0.019121091222041142	0.008359042178836602	0.006879128506245999	0.020457143707508584	0.016728171763427856	0.022264710342137266	0.018420518248572652	0.5501403833321684	0.45275690678505376	0.4788449416014558	0.5240741046759779
The crowd's reaction to the performance fizzled like fireworks	The crowd's reaction to the performance fizzled like flat soda	The crowd was enthusiastic	The crowd was unenthusiastic	0.02230170287581728	0.019483071955636116	0.009906823498088134	0.06081203731875603	0.027689972297658114	0.05374993615251776	0.023592786960218434	0.048375830995910335	0.3400049536474929	0.6721795189314276	0.5399470055505096	0.47368878929057745
The pilot flew like a ballet dancer	The pilot flew like a modern dancer	The pilot flew in a restrained way	The pilot flew in a creative way	0.006935704294842455	0.0022479022829935804	0.0036161755302131903	0.004939712392058452	0.016177898340969023	0.01842127804456715	0.009647407289718229	0.011132732047007475	0.46758044644473173	0.5357390471069692	0.6264358909172183	0.376691082276555
He had the air of a cult leader	He had the air of a church leader	People were intimidated by him	People were not intimidated by him	0.041249154776532834	0.02534517644581739	0.012723609959679999	0.018810159535289934	0.054112845907436924	0.04651203486202169	0.03588416752041445	0.034977284907930596	0.5377680499459644	0.4936010159162283	0.6012737961667806	0.4292253881450099
The venture was charting new waters	The venture was blown out to sea	The venture was innovative	The venture was unsuccessful	0.004235003161436721	0.004160710224074822	0.001006908231465709	0.002453145788358268	0.011752617082899843	0.010143473960504891	0.006554648816753575	0.011368762734196076	0.5367449861074549	0.6342968079418851	0.6419646247188848	0.5284788790463849
She was as bright as diamond	She was as bright as obsidian	She was intelligent	She was unintelligent	0.018038879336775136	0.015902890003456717	0.007587509944300251	0.005692901491851694	0.03017024586687248	0.01791195535884546	0.023232758059987653	0.018220212010651344	0.6274722266819845	0.43953936182625086	0.5649540971177042	0.5042656817214087
Vanity is the quicksand of reason	Vanity is the tailwind of reason	Vanity destroys reason	Vanity motivates reason	0.023697022031426034	0.006432445110301606	0.0008331763162346801	0.0009827374989202734	0.02224983078540117	0.014245819953984233	0.010511995483227492	0.008482260878793944	0.6096570504876511	0.4465697796810842	0.6791389040087386	0.3732062087072889
The movie has the depth of the ocean	The movie has the depth of a wading pool	The movie is profound	The movie is vapid	0.010399782143054882	0.023877744532605806	0.0022933916136186386	0.004249484798991787	0.017312865064863507	0.014713892753905026	0.024003351663830847	0.026122861476733202	0.5405750142687783	0.5211417308440877	0.41903316507776034	0.639689955014452
Even a monkey falls from a tree sometimes	Even a monkey writes a sonnet sometimes	Experts can fail sometimes	Novices can succeed sometimes	0.024473186651144112	0.009688940017196829	0.003708520783993623	0.002386105802563404	0.012243588383440378	0.013967523244535927	0.005953128348827176	0.008993838960007827	0.46711442678273296	0.601716640852734	0.6728460174207846	0.3916944857142693
Time is a crystal	Time is a river	You can't change the future	You can change the future	0.007178799600450173	0.021251720850283828	0.06279130855500713	0.01778199817028589	0.029510101466028296	0.019482932602344516	0.04718764404053561	0.02519879193500625	0.6023325974228321	0.3481148311200249	0.3847583950626394	0.5639619373675212
The bar is a giant's step away	The bar is a cat's jump away	The bar is far away	The bar is close by	0.005223352803819481	0.007863635943631786	0.008361992266708468	0.006608792342398926	0.016892904987119508	0.013509336797179082	0.02137028425481156	0.020748851023411976	0.5556466890492249	0.4926229108540023	0.44149234085817557	0.605661079683286
He had funnels in his ears throughout the lecture	He had cotton in his ears throughout the lecture	He did pay attention	He did not pay attention	0.006691402525355417	0.02067029474577486	0.008838861818776942	0.029263339615697874	0.011137404507535	0.01588127016022133	0.025744973940602354	0.03940763724122382	0.41221135546023685	0.6048512335330051	0.3019708862647242	0.7127584735051895
The conference had a rivulet of submissions	The conference had a tsunami of submissions	There were few submissions	There were many submissions	0.003847668292669304	0.0046645807486010386	0.0032218604505249017	0.0050443094408043265	0.008476786180507736	0.009668278130806155	0.008529695283098876	0.011327275438364592	0.4671676018928328	0.5704432764319334	0.4984444429994422	0.5395083011765516
