x_1,x_2,y_1,y_2,P(x_1),P(x_2),P(y_1),P(y_2),"P(x_1, y_1)","P(x_1, y_2)","P(x_2, y_1)","P(x_2, y_2)",P(y_1|x_1),P(y_2|x_2),P(x_1|y_1),P(x_2|y_2)
He should be back before more sunlight reaches us,He should be back before the sun implodes,He will be back quickly,He will be back slowly,0.0025595370251068074,0.018327808803160518,0.010537535121909936,0.004528240448745421,0.011071603237130391,0.008891194090049058,0.033347560283463626,0.02967540345525326,0.5546118139493581,0.4708665174535862,0.2492528530393706,0.7694586855995009
Her commitment to the cause was as sturdy as oak,Her commitment to the cause was as sturdy as plywood,She was committed,She was uncommitted,0.018956170831054015,0.01859797034327841,0.005387312485637265,0.002476750742938768,0.03920815097647204,0.030425612682156867,0.031142598304533337,0.03853814097200437,0.5630623553350534,0.5530673378630557,0.557323857630301,0.5588173341791264
The crowd's reaction to the performance fizzled like fireworks,The crowd's reaction to the performance fizzled like flat soda,The crowd was enthusiastic,The crowd was unenthusiastic,0.008469453039594569,0.0063769451768184065,0.007528097317552108,0.02963152036893009,0.027711799858023366,0.03652780909190522,0.015945305602199686,0.03496933852018185,0.4313818267421781,0.6868228016310478,0.6347603572406374,0.4891011696006464
The pilot flew like a ballet dancer,The pilot flew like a modern dancer,The pilot flew in a restrained way,The pilot flew in a creative way,0.012154583207025869,0.0030470612694712125,0.001156118267697404,0.002469979854937548,0.023977921375521,0.027071308884947274,0.014160107443383365,0.016381075679575356,0.46970191819109813,0.5363602193675729,0.6287142287656869,0.37698910758858417
He had the air of a cult leader,He had the air of a church leader,People were intimidated by him,People were not intimidated by him,0.03929180142347098,0.023225558318289357,0.020259339045800913,0.01681963347016011,0.03293772173676076,0.030307623106482,0.02191677928719966,0.021403233990957407,0.5207928238576105,0.49407265536895395,0.6004561361769307,0.4139021318216991
The venture was charting new waters,The venture was blown out to sea,The venture was innovative,The venture was unsuccessful,0.004332412034129299,0.0027140774294767433,0.0009604444660852897,0.004382467503206512,0.021600014095521265,0.021571132493411315,0.011210351542708602,0.0247598505761321,0.500334501216576,0.6883433819562339,0.6583289663298795,0.5344123723635917
She was as bright as diamond,She was as bright as obsidian,She was intelligent,She was unintelligent,0.03928621855443859,0.04849109746485429,0.011387024635060071,0.00492188570250296,0.04486171319364268,0.026506036585283593,0.04070720349696089,0.041967368081078295,0.6285992389084629,0.5076212344380151,0.5242758109916449,0.6129002681488556
Vanity is the quicksand of reason,Vanity is the tailwind of reason,Vanity destroys reason,Vanity motivates reason,0.006629073767174613,0.0021061999426069847,0.00018274792722849044,0.0004223006598123914,0.010493930899024152,0.011593809655568962,0.004005456459510986,0.006063897889206516,0.47510205369747305,0.6022131786412753,0.7237499516037722,0.3434136551321855
The movie has the depth of the ocean,The movie has the depth of a wading pool,The movie is profound,The movie is vapid,0.043485299263838054,0.06213334835998911,0.009030409065613268,0.011648292097919129,0.07585182356700841,0.04208455924139188,0.07399328117159402,0.0645398256634463,0.6431588095273149,0.46588015773224334,0.5062015452511996,0.6053008016979214
Even a monkey falls from a tree sometimes,Even a monkey writes a sonnet sometimes,Experts can fail sometimes,Novices can succeed sometimes,0.012638369006412884,0.005315494614390396,0.006124016017451675,0.0002838738117387396,0.008342465327726534,0.006420830810889131,0.002738916875684119,0.0027659428520484673,0.5650814865052756,0.502454737967999,0.7528361692243474,0.301078806720489
