HITId,AssignmentId,startphrase,ending1,ending2,labels,valid
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3LOTDFNYA89K9ZIJ16484885K8ZFWO,The girl was as down-to-earth as a Michelin-starred canape,The girl was not down-to-earth at all.,The girl was very down-to-earth.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3LOTDFNYA89K9ZIJ16484885K8ZFWO,The girl was as down-to-earth as eggs and potatoes,The girl was not down-to-earth at all.,The girl was very down-to-earth.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3LOTDFNYA89K9ZIJ16484885K8ZFWO,The girl had the flightiness of a sparrow,The girl was very fickle.,The girl was very stable.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3LOTDFNYA89K9ZIJ16484885K8ZFWO,The girl had the flightiness of a rock,The girl was very fickle.,The girl was very stable.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3LOTDFNYA89K9ZIJ16484885K8ZFWO,The girl's room was as messy as pig slops,The girl's room was a total mess.,The girl's room was very clean.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3LOTDFNYA89K9ZIJ16484885K8ZFWO,The girl's room was as messy as a housekeeper,The girl's room was a total mess.,The girl's room was very clean.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R6P78PK7LLYVIAKHL5FZ91IHTRTGL,It was as peaceful as a church.,It was very peaceful.,"It was full of conflict and danger, not peace.",0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R6P78PK7LLYVIAKHL5FZ91IHTRTGL,It was as peaceful as a battlefield.,It was very peaceful.,"It was full of conflict and danger, not peace.",1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R6P78PK7LLYVIAKHL5FZ91IHTRTGL,The leaves were as green as grass,The leaves were very green,The leaves were brown and not green at all.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R6P78PK7LLYVIAKHL5FZ91IHTRTGL,The leaves were as green as dirt,The leaves were very green,The leaves were brown and not green at all.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R6P78PK7LLYVIAKHL5FZ91IHTRTGL,The view as as clear as day,The view was very clear.,The view as obstructed and not clear.,0,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3R6P78PK7LLYVIAKHL5FZ91IHTRTGL,The view as as clear as mud,The view was very clear.,The view as obstructed and not clear.,1,1
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3TPZPLC3M1MZ9E5P5PPBB5BCOM2P37,The room an arctic tundra,The room is cold.,The room is hot.,0,0
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3TPZPLC3M1MZ9E5P5PPBB5BCOM2P37,The room an oven,The room is cold.,The room is hot.,1,0
3YCT0L9OMMJ03QGXPN8IR4I5IX0SN8,3TPZPLC3M1MZ9E5P5PPBB5BCOM2P37,This is the death,This is the end.,This is the beginning.,0,0
