startphrase,ending1,ending2,labels,valid,qid
The future is as bright as the sun,The future is bright,The future is not bright,0,1,211
The future is as bright as ink,The future is bright,The future is not bright,1,1,211
She thinks of herself as the mother of humanity.,She is self-righteous and entitled.,She is humble and respectful towards the different people.,0,1,223
She thinks of herself as a particle of sand in the desert.,She is self-righteous and entitled.,She is humble and respectful towards the different people.,1,1,223
His sacrifice showed he had a heart like a lion,His sacrifice was very bold,His sacrifice was timid and weak,0,1,314
His sacrifice showed he had a heart like a mouse,His sacrifice was very bold,His sacrifice was timid and weak,1,1,314
The government ran with the efficiency of a well-oiled machine,The government was very efficient.,The government was not efficient at all.,0,1,323
The government ran with the efficiency of a sputtering engine,The government was very efficient.,The government was not efficient at all.,1,1,323
She was as flaky as wood shavings,She was extremely flaky.,She wasn't flaky at all.,0,1,848
She was as flaky as steel,She was extremely flaky.,She wasn't flaky at all.,1,1,848
The book is an complex as the night sky,The book is very complicated.,The book is easy to understand.,0,1,849
The book is an complex as a children's puzzle,The book is very complicated.,The book is easy to understand.,1,1,849
The fog has the thickness of a heavy woman's thighs,The fog is thick,The fog is thin,0,1,858
The fog has the thickness of Christian Bale in The Machinist,The fog is thick,The fog is thin,1,1,858
The preschool teacher was a grim reaper.,The preschool teacher was dour.,The preschool teacher was funny.,0,1,901
The preschool teacher was a clown.,The preschool teacher was dour.,The preschool teacher was funny.,1,1,901
Hollywood is as genuine as Silk,Hollywood is the real deal.,Hollywood is fake.,0,1,954
Hollywood is as genuine as Rayon,Hollywood is the real deal.,Hollywood is fake.,1,1,954
He ate like a horse,He ate a lot,He barely ate at all,0,1,980
He ate like a bird,He ate a lot,He barely ate at all,1,1,980
The politician has the transparency of a pane of glass,The politician is very transparent,The politician is not transparent,0,1,1111
The politician has the transparency of a metal door,The politician is very transparent,The politician is not transparent,1,1,1111
Their arrival was like a cool hand on a feverish forehead.,Their arrival was soothing and welcome.,Their arrival was boring.,0,1,1125
Their arrival was like a kernel stuck in your teeth.,Their arrival was soothing and welcome.,Their arrival was boring.,1,1,1125
The car is a pile of dog poop.,The car is trash.,The car is wonderful.,0,1,1171
The car is a treasure chest.,The car is trash.,The car is wonderful.,1,1,1171
The car was a cheetah,The car was fast,The car was slow,0,1,1182
The car was a slug,The car was fast,The car was slow,1,1,1182
