startphrase,ending1,ending2,label,valid
the book has the pace of a glacier,The book is very slow.,The book is fast paced.,0,1
the book has the pace of a raging storm,The book is very slow.,The book is fast paced.,1,1
i want to drink some water. glass water,water is very hot.,water is very cool.,0,0
i want to drink some water. pure water,water is very hot.,water is very cool.,1,0
emails are as fast as a turtle,Emails are slow.,Emails are fast.,0,1
emails are as fast as a rocket,Emails are slow.,Emails are fast.,1,1
the water has the depth of the fire,the stream is boring,the water is profound,0,0
the water has the depth of air is boring,the stream is boring,the water is profound,1,0
the cast on his broken leg was a plaster shackle,the cast made it so that he couldn't move very easily.,the cast made it so that he couldn't move freely.,0,0
the cast on his broken leg was fake affections,the cast made it so that he couldn't move very easily.,the cast made it so that he couldn't move freely.,1,0
many children played on the ground,The children enjoyed,The children unsatisfied,0,0
many children played on the pond,The children enjoyed,The children unsatisfied,1,0
the teacher is a engineer,The teacher is helpful,The teacher is unhelpful,0,0
the teacher is a driver,The teacher is helpful,The teacher is unhelpful,1,0
the movie is as long as an interstate,The movie is very long,The movie is very short,0,1
the movie is as long as a gnat,The movie is very long,The movie is very short,1,1
that man has the laughter of booming thunder,It's a very loud and deep laugh,It's barely audible and high-pitched,0,1
that man has the laughter of a mouse,It's a very loud and deep laugh,It's barely audible and high-pitched,1,1
the explanation was like clear water,The explanation was easy and simple to understand,The explanation made to sense.,0,1
the explanation was like mud,The explanation was easy and simple to understand,The explanation made no sense.,1,1
we use a lot of water every day. health goodness.,drinking water is good for health.,don't waste water.,0,0
we use a lot of water every day. drink water.,drinking water is good for health.,don't waste water.,1,0
the headlight was as bright as a sun,The headlight was very bright.,the headlight was very dim.,0,1
the headlight was as bright as a dim candle,The headlight was very bright.,the headlight was very dim.,1,1
the storm has depth of the water,the storm is profoun,the storm is mirror,,0
the storm has depth of the sea,the storm is profoun,the storm is mirror,1,0
laughter is the music of the soul,It's made the comparison between laughter and music.,by actually calling laughter music it compares both the music and laugh.,0,0
laughter is the music of the heart,It's made the comparison between laughter and music.,by actually calling laughter music it compares both the music and laugh.,1,0
a fully perspective approach maybe harmful,The approach is wrong,The approach is logical,0,0
a fully perspective approach maybe professional,The approach is wrong,The approach is logical,1,0
the house is wood,The house is clean,The house is messy,0,0
the house is roof,The house is clean,The house is messy,1,0
the hurricane is as violent as a black hole,The hurricane is very violent,The hurricane is not very violent,0,0
the hurricane is as violent as a word,The hurricane is very violent,The hurricane is not very violent,1,0
that woman's purity is a field of virgin snow,Clean and untouched snow,Dirty and defiled snow,0,1
that woman's purity is a pile of yellow snow,Clean and untouched snow,Dirty and defiled snow,1,1
the event planning hit several storms in the process,The planning ran into several problems,The planning was easy and without issue,0,1
the event planning was met with clear skies,The planning ran into several problems,The planning was easy and without issue,1,1
the storm became even more violent. bad strom,"In spite of the storm, he went out.",He was absent because of the storm.,0,0
the storm became even more violent. worst strom.,"In spite of the storm, he went out.",He was absent because of the storm.,1,0
the dinner was as tasty as a leather shoe,The dinner was very dry and tasteless.,The dinner was award winning.,0,1
the dinner was as tasty as a michelin star,The dinner was very dry and tasteless.,The dinner was award winning.,1,1
the glacier has depth of the fire,the glacier has lovely,the glacier is profound,0,0
the glacier has depth of the stone,the glacier has lovely,the glacier is profound,1,0
the world is a drama stage,"this world is like a stage show, and all human beings are merely actors.",people are acting in their daily life.,0,0
the world is a theatre,"this world is like a stage show, and all human beings are merely actors.",people are acting in their daily life.,1,0
