HITId,AssignmentId,startphrase,ending1,ending2,labels,valid,qid,index
338431Z1FLP6KWGWBD8QGJDEM5MROY,3R5F3LQFV3UI970HBW75Q6B1TBQOZ5,The future is as bright as the sun,The future is bright,The future is not bright,0,1,211,
338431Z1FLP6KWGWBD8QGJDEM5MROY,3R5F3LQFV3UI970HBW75Q6B1TBQOZ5,The future is as bright as ink,The future is bright,The future is not bright,1,1,211,
338431Z1FLP6KWGWBD8QGJDEM5MROY,38SKSKU7R27O8W8AY03RYU4H2UZLI6,She thinks of herself as the mother of humanity.,She is self-righteous and entitled.,She is humble and respectful towards the different people.,0,1,223,
338431Z1FLP6KWGWBD8QGJDEM5MROY,38SKSKU7R27O8W8AY03RYU4H2UZLI6,She thinks of herself as a particle of sand in the desert.,She is self-righteous and entitled.,She is humble and respectful towards the different people.,1,1,223,
39I4RL8QGJRPR9SBWOHNOH53I5P4H5,345LHZDEDY2C1JDLMBO5LBYBW3BU3P,His sacrifice showed he had a heart like a lion,His sacrifice was very bold,His sacrifice was timid and weak,0,1,314,
39I4RL8QGJRPR9SBWOHNOH53I5P4H5,345LHZDEDY2C1JDLMBO5LBYBW3BU3P,His sacrifice showed he had a heart like a mouse,His sacrifice was very bold,His sacrifice was timid and weak,1,1,314,
3MD8CKRQZZXSJLPZV0GL8NWSNBCRJF,323Q6SJS8JQ2C9NU67I835YI5KOFHQ,The government ran with the efficiency of a well-oiled machine,The government was very efficient.,The government was not efficient at all.,0,1,323,
3MD8CKRQZZXSJLPZV0GL8NWSNBCRJF,323Q6SJS8JQ2C9NU67I835YI5KOFHQ,The government ran with the efficiency of a sputtering engine,The government was very efficient.,The government was not efficient at all.,1,1,323,
3TZDZ3Y0JSGFK4D9BUATD20CN7R91P,386CSBG1O0WJ69TMO42YIDD630FQ6C,She was as flaky as wood shavings,She was extremely flaky.,She wasn't flaky at all.,0,1,848,
3TZDZ3Y0JSGFK4D9BUATD20CN7R91P,386CSBG1O0WJ69TMO42YIDD630FQ6C,She was as flaky as steel,She was extremely flaky.,She wasn't flaky at all.,1,1,848,
3TZDZ3Y0JSGFK4D9BUATD20CN7R91P,3COPXFW7XCM55CDWQVHASRSEZZNPKZ,The book is an complex as the night sky,The book is very complicated.,The book is easy to understand.,0,1,849,
