startphrase,ending1,ending2,answer,
The rat has the speed of a laxative traveling through a stomach,The rat is very fast,The rat is very slow,1,
The cop got the suspect to confess after applying the pressure of an avalanche,The cop used a lot of pressure.,The cop used little pressure.,1,
The horse has the staying power of a three-legged dog.,The horse has little endurance.,The horse has lots of endurance.,1,
His brain was made of curving winding roads leading into dark woods.,He is really efficient and thinks in a straightforward way.,He tends to get distracted.,2,
He was as sturdy as a house of cards.,"He's resiliant, very sturdy.","He's not sturdy, in fact he's easily knocked down.",2,not sure
The painter has the touch of a feather,The painter is forceful,The painter is gentle,2,
The student was a fox.,The student was unintelligent.,The student was sly.,2,
When the morning is tough put a smile on your face and move on,do not let one bad thing ruin your whole day,look at the world others are having a much rougher day.,1,
The singer had the tone of a singing bluebird,The singer sounded good.,The singer sounded bad.,1,
The singer had the tone of a squawking crow,The singer sounded good.,The singer sounded bad.,2,
His bathroom was as clean as a landfill near a nuclear waste site,His bathroom was filthy,His bathroom was spotless,1,
The bowl was as valuable as silver,The bowl was valuable,The bowl was worthless,1,
The list was long like a ribbon.,The list was long.,The list was short.,1,not sure
The cat had the meow of a sickly dog,The cat had a strong meow,The cat's meow was weak,2,
The cop got the suspect to confess after applying the pressure of a feather,The cop used a lot of pressure.,The cop used little pressure.,2,
The bar is a cat's jump away,The bar is far away,The bar is close by,2,
Jane was a friend as good as The smell of stale cigarette smoke.,Jane was a comforting friend.,Jane was stagnant as a friend.,2,
The boy had the courage of a tiger.,The boy is brave.,The boy is not brave.,1,
The tea was as dark as the night,The tea was strong,The tea was pleasant to drink,1,
The worker has the discipline of a wise chess master,The worker had great discipline,The worker has little discipline,1,
The student was a goldfish.,The student was unintelligent.,The student was sly.,1,
The rat has the speed of an upside down giraffe,The rat is very fast,The rat is very slow,2,
His love was a many forked road.,His love was spread to many.,His love was straight and true.,1,
The project had the complexity of A nuclear submarine,The project is very simple,The project is very complicated,2,
Dinner smelled like garbage,Dinner smelled good.,Dinner smelled bad.,2,
This man is as brave as a firefighter,the man is timid,the man is courageous,2,
My mind is a beeping phone,My mind is empty.,My mind is full of thoughts.,2,
His bathroom was as clean as a freshly autoclaved surgical instrument,His bathroom was filthy,His bathroom was spotless,2,
The Brain is a Prism,brain is hypersensitive and connects many things.,brain take one input and gives multiple output.,2,
The giraffe was as tall as the Sears Tower,The giraffe was tall,The giraffe was short,1,
The horse has the staying power of a nuclear submarine.,The horse has little endurance.,The horse has lots of endurance.,1,
Matt's girlfriend is the DMV.,Matt's girlfriend is fast.,Matt's girlfriend is slow.,2,
The art has the depth of the bottom of the sea.,The art is superficial.,The art is profound.,2,
The high student has as many things on her to-do list as a kindergarten student,The high school student has a to-do list that's packed.,The high school student doesn't have much on her to-do list.,1,
The fruit has the blueness of a depressed painter's canvas,Th fruit is very blue,The fruit isn't blue at all,1,
He hustles like he's a billionaire's son.,He hustles hardcore.,He doesn't hustle at all.,1,
The bar is a giant's step away,The bar is far away,The bar is close by,1,
He was as sturdy as a brick house.,"He's resiliant, very sturdy.","He's not sturdy, in fact he's easily knocked down.",1,
The art has the depth of a puddle.,The art is superficial.,The art is profound.,1,
The bowl was as valuable as mud,The bowl was valuable,The bowl was worthless,2,
The fortress was as impenetrable as paper,The fortress was well defended and reinforced.,The fortress was easily breached.,2,
The soccer player passed the ball to his teammate like the bullet train in Japan.,The pass was surprising,The pass was very fast and direct,2,
He is as tall as a tree,He is tall,He is short,1,
Her eyes reflected a sparkle a multitude of stars,Her eyes were bright and shiny,Her eyes were blank,1,
He had the class of an aristocrat from an old novel,He had a lot class,He had little class,1,
The classroom sounded like a garden conservatory,The classroom was noisy.,The classroom was quiet.,2,
That dog has the mass of a squashed ladybug,The dog is big,The dog is tiny,2,
The fruit has the blueness of medieval depictions of Hell,Th fruit is very blue,The fruit isn't blue at all,2,
The cat food has the aroma of Coq Au Vin.,The cat food smells awful.,The cat food smells delicious.,2,not sure
